Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
"60,736",985.50,342.45,226.74,1.51,0.75,"61,680",278.09,0.79,0.98,0.79,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"60,756",982.65,352.94,219.89,1.61,0.78,"61,871",278.13,0.76,0.98,0.79,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"60,813",944.04,359.54,215.89,1.67,0.80,"61,634",278.26,0.70,0.99,0.86,0.77,0.01,0.00,0.60,1.00,BARBUNYA
"60,874",921.15,310.33,250.97,1.24,0.59,"61,578",278.40,0.82,0.99,0.90,0.90,0.01,0.00,0.80,1.00,BARBUNYA
"60,880",970.24,354.04,219.76,1.61,0.78,"61,670",278.41,0.69,0.99,0.81,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"60,918",939.73,347.63,223.84,1.55,0.77,"61,747",278.50,0.82,0.99,0.87,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"60,946",967.85,366.24,212.23,1.73,0.81,"61,813",278.57,0.72,0.99,0.82,0.76,0.01,0.00,0.58,1.00,BARBUNYA
"60,993",958.35,356.75,218.01,1.64,0.79,"61,892",278.67,0.73,0.99,0.83,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"61,013",943.39,336.58,231.26,1.46,0.73,"61,950",278.72,0.78,0.98,0.86,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"61,055",977.93,346.62,226.67,1.53,0.76,"62,594",278.81,0.81,0.98,0.80,0.80,0.01,0.00,0.65,0.99,BARBUNYA
"61,076",957.03,333.49,234.18,1.42,0.71,"61,989",278.86,0.74,0.99,0.84,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"61,137",978.13,345.91,225.74,1.53,0.76,"62,582",279.00,0.76,0.98,0.80,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"61,142","1,024.18",361.26,216.15,1.67,0.80,"62,247",279.01,0.77,0.98,0.73,0.77,0.01,0.00,0.60,1.00,BARBUNYA
"61,152",982.98,334.02,233.81,1.43,0.71,"62,351",279.04,0.74,0.98,0.80,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"61,153",988.08,330.53,236.11,1.40,0.70,"62,432",279.04,0.75,0.98,0.79,0.84,0.01,0.00,0.71,1.00,BARBUNYA
"61,206","1,003.51",359.46,219.20,1.64,0.79,"62,918",279.16,0.72,0.97,0.76,0.78,0.01,0.00,0.60,0.99,BARBUNYA
"61,247",967.95,348.51,224.22,1.55,0.77,"62,253",279.25,0.79,0.98,0.82,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"61,254",961.24,347.35,224.99,1.54,0.76,"62,242",279.27,0.79,0.98,0.83,0.80,0.01,0.00,0.65,1.00,BARBUNYA
"61,274","1,025.58",350.37,223.71,1.57,0.77,"62,720",279.31,0.71,0.98,0.73,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"61,301",984.77,333.14,234.90,1.42,0.71,"62,463",279.38,0.79,0.98,0.79,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"61,302",957.18,335.88,232.86,1.44,0.72,"62,348",279.38,0.74,0.98,0.84,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"61,320",971.05,339.15,230.96,1.47,0.73,"62,409",279.42,0.77,0.98,0.82,0.82,0.01,0.00,0.68,1.00,BARBUNYA
"61,333",952.52,355.96,220.26,1.62,0.79,"62,227",279.45,0.69,0.99,0.85,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"61,348",949.06,356.94,219.25,1.63,0.79,"62,159",279.48,0.74,0.99,0.86,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"61,377",993.97,352.86,222.88,1.58,0.78,"62,512",279.55,0.77,0.98,0.78,0.79,0.01,0.00,0.63,0.99,BARBUNYA
"61,387",960.46,318.99,245.26,1.30,0.64,"62,237",279.57,0.80,0.99,0.84,0.88,0.01,0.00,0.77,1.00,BARBUNYA
"61,387",946.92,324.62,241.22,1.35,0.67,"62,475",279.57,0.77,0.98,0.86,0.86,0.01,0.00,0.74,1.00,BARBUNYA
"61,442",992.09,337.91,232.44,1.45,0.73,"62,709",279.70,0.71,0.98,0.78,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"61,484",971.30,386.07,203.36,1.90,0.85,"62,193",279.79,0.81,0.99,0.82,0.72,0.01,0.00,0.53,1.00,BARBUNYA
"61,497",963.84,354.08,222.49,1.59,0.78,"62,605",279.82,0.68,0.98,0.83,0.79,0.01,0.00,0.62,0.99,BARBUNYA
"61,543",991.20,354.68,221.95,1.60,0.78,"62,634",279.93,0.83,0.98,0.79,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"61,557",954.86,342.82,229.14,1.50,0.74,"62,493",279.96,0.72,0.99,0.85,0.82,0.01,0.00,0.67,1.00,BARBUNYA
"61,559",972.70,363.41,216.01,1.68,0.80,"62,400",279.96,0.77,0.99,0.82,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"61,570","1,001.04",372.79,211.15,1.77,0.82,"62,673",279.99,0.74,0.98,0.77,0.75,0.01,0.00,0.56,1.00,BARBUNYA
"61,576",938.47,339.97,231.31,1.47,0.73,"62,280",280.00,0.78,0.99,0.88,0.82,0.01,0.00,0.68,1.00,BARBUNYA
"61,608","1,002.53",357.79,219.65,1.63,0.79,"62,728",280.07,0.80,0.98,0.77,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"61,645",952.20,335.14,235.84,1.42,0.71,"62,499",280.16,0.80,0.99,0.85,0.84,0.01,0.00,0.70,0.99,BARBUNYA
"61,669",972.80,355.49,221.42,1.61,0.78,"62,489",280.21,0.72,0.99,0.82,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"61,701",973.47,327.56,240.33,1.36,0.68,"62,812",280.29,0.73,0.98,0.82,0.86,0.01,0.00,0.73,1.00,BARBUNYA
"61,731",969.59,363.23,218.01,1.67,0.80,"63,023",280.35,0.77,0.98,0.83,0.77,0.01,0.00,0.60,0.99,BARBUNYA
"61,786",966.63,327.72,241.10,1.36,0.68,"62,957",280.48,0.73,0.98,0.83,0.86,0.01,0.00,0.73,1.00,BARBUNYA
"61,787",943.91,361.59,218.78,1.65,0.80,"62,403",280.48,0.71,0.99,0.87,0.78,0.01,0.00,0.60,0.99,BARBUNYA
"61,788",975.21,337.79,233.24,1.45,0.72,"62,654",280.48,0.76,0.99,0.82,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"61,843",954.29,347.11,227.57,1.53,0.76,"62,526",280.61,0.78,0.99,0.85,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"61,846","1,001.07",345.73,228.92,1.51,0.75,"63,198",280.61,0.77,0.98,0.78,0.81,0.01,0.00,0.66,0.99,BARBUNYA
"61,883",988.71,349.85,227.07,1.54,0.76,"63,151",280.70,0.68,0.98,0.80,0.80,0.01,0.00,0.64,0.99,BARBUNYA
"61,884",977.87,332.11,237.94,1.40,0.70,"62,975",280.70,0.72,0.98,0.81,0.85,0.01,0.00,0.71,1.00,BARBUNYA
"61,955",941.73,356.27,221.85,1.61,0.78,"62,655",280.86,0.75,0.99,0.88,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"61,959",933.92,338.53,234.38,1.44,0.72,"62,621",280.87,0.82,0.99,0.89,0.83,0.01,0.00,0.69,0.99,BARBUNYA
"61,974",991.56,362.97,218.78,1.66,0.80,"63,233",280.91,0.79,0.98,0.79,0.77,0.01,0.00,0.60,0.99,BARBUNYA
"61,978","1,036.29",354.04,223.58,1.58,0.78,"63,295",280.91,0.77,0.98,0.73,0.79,0.01,0.00,0.63,1.00,BARBUNYA
"61,988",969.08,359.17,220.62,1.63,0.79,"62,965",280.94,0.70,0.98,0.83,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"62,005",960.80,350.49,226.18,1.55,0.76,"62,953",280.98,0.80,0.98,0.84,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"62,033",990.71,348.37,227.47,1.53,0.76,"63,197",281.04,0.71,0.98,0.79,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"62,075",991.58,336.61,237.77,1.42,0.71,"63,581",281.13,0.72,0.98,0.79,0.84,0.01,0.00,0.70,0.99,BARBUNYA
"62,145","1,051.69",328.97,241.26,1.36,0.68,"63,727",281.29,0.77,0.98,0.71,0.86,0.01,0.00,0.73,1.00,BARBUNYA
"62,169","1,006.86",350.41,226.27,1.55,0.76,"63,136",281.35,0.75,0.98,0.77,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"62,185",981.28,347.58,230.06,1.51,0.75,"63,550",281.38,0.76,0.98,0.81,0.81,0.01,0.00,0.66,0.99,BARBUNYA
"62,209",977.98,344.17,231.40,1.49,0.74,"63,383",281.44,0.78,0.98,0.82,0.82,0.01,0.00,0.67,0.99,BARBUNYA
"62,215",998.57,354.27,224.37,1.58,0.77,"63,401",281.45,0.77,0.98,0.78,0.79,0.01,0.00,0.63,1.00,BARBUNYA
"62,218",969.46,346.41,229.75,1.51,0.75,"63,385",281.46,0.79,0.98,0.83,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"62,298",992.58,327.69,242.66,1.35,0.67,"63,353",281.64,0.80,0.98,0.79,0.86,0.01,0.00,0.74,1.00,BARBUNYA
"62,353",974.13,336.41,236.40,1.42,0.71,"63,337",281.76,0.77,0.98,0.83,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"62,363",950.30,360.51,220.63,1.63,0.79,"63,010",281.79,0.69,0.99,0.87,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"62,391",965.28,342.42,232.14,1.48,0.74,"63,399",281.85,0.74,0.98,0.84,0.82,0.01,0.00,0.68,1.00,BARBUNYA
"62,406",972.59,370.76,215.11,1.72,0.81,"63,240",281.88,0.75,0.99,0.83,0.76,0.01,0.00,0.58,1.00,BARBUNYA
"62,417",971.94,325.22,245.48,1.32,0.66,"63,584",281.91,0.74,0.98,0.83,0.87,0.01,0.00,0.75,1.00,BARBUNYA
"62,434",947.31,361.64,220.69,1.64,0.79,"63,123",281.95,0.79,0.99,0.87,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"62,441",971.61,334.62,239.71,1.40,0.70,"63,560",281.96,0.72,0.98,0.83,0.84,0.01,0.00,0.71,0.99,BARBUNYA
"62,499","1,003.00",353.68,225.35,1.57,0.77,"63,749",282.09,0.72,0.98,0.78,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"62,504",989.06,347.19,230.95,1.50,0.75,"63,945",282.10,0.77,0.98,0.80,0.81,0.01,0.00,0.66,0.99,BARBUNYA
"62,524",977.20,359.22,224.14,1.60,0.78,"63,879",282.15,0.72,0.98,0.82,0.79,0.01,0.00,0.62,0.99,BARBUNYA
"62,599",989.40,363.74,221.06,1.65,0.79,"63,931",282.32,0.78,0.98,0.80,0.78,0.01,0.00,0.60,0.99,BARBUNYA
"62,608","1,002.97",365.93,218.60,1.67,0.80,"64,037",282.34,0.69,0.98,0.78,0.77,0.01,0.00,0.60,1.00,BARBUNYA
"62,626",993.13,363.84,219.84,1.66,0.80,"63,602",282.38,0.77,0.98,0.80,0.78,0.01,0.00,0.60,1.00,BARBUNYA
"62,650",963.79,349.12,229.70,1.52,0.75,"63,464",282.43,0.75,0.99,0.85,0.81,0.01,0.00,0.65,0.99,BARBUNYA
"62,683","1,007.35",343.39,233.99,1.47,0.73,"64,225",282.51,0.70,0.98,0.78,0.82,0.01,0.00,0.68,0.99,BARBUNYA
"62,701",951.73,354.89,226.03,1.57,0.77,"63,308",282.55,0.71,0.99,0.87,0.80,0.01,0.00,0.63,1.00,BARBUNYA
"62,713","1,018.35",393.44,203.98,1.93,0.86,"63,714",282.58,0.72,0.98,0.76,0.72,0.01,0.00,0.52,0.99,BARBUNYA
"62,738","1,066.48",358.63,223.24,1.61,0.78,"64,416",282.63,0.70,0.97,0.69,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"62,761","1,026.85",356.45,225.82,1.58,0.77,"64,077",282.68,0.71,0.98,0.75,0.79,0.01,0.00,0.63,0.99,BARBUNYA
"62,766",996.03,346.52,231.43,1.50,0.74,"63,965",282.69,0.70,0.98,0.80,0.82,0.01,0.00,0.67,1.00,BARBUNYA
"62,787",942.19,359.46,223.13,1.61,0.78,"63,429",282.74,0.81,0.99,0.89,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"62,792",983.75,373.52,215.38,1.73,0.82,"63,919",282.75,0.71,0.98,0.82,0.76,0.01,0.00,0.57,0.99,BARBUNYA
"62,821",998.26,348.35,230.72,1.51,0.75,"64,071",282.82,0.78,0.98,0.79,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"62,831","1,046.74",356.09,225.79,1.58,0.77,"64,195",282.84,0.75,0.98,0.72,0.79,0.01,0.00,0.63,1.00,BARBUNYA
"62,835",997.07,347.04,231.05,1.50,0.75,"63,990",282.85,0.78,0.98,0.79,0.82,0.01,0.00,0.66,1.00,BARBUNYA
"62,838",982.21,350.10,229.62,1.52,0.75,"63,926",282.86,0.71,0.98,0.82,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"62,839",952.70,360.62,222.53,1.62,0.79,"63,383",282.86,0.80,0.99,0.87,0.78,0.01,0.00,0.62,1.00,BARBUNYA
"62,879",961.97,342.90,233.90,1.47,0.73,"63,902",282.95,0.73,0.98,0.85,0.83,0.01,0.00,0.68,1.00,BARBUNYA
"62,930",996.49,354.62,226.45,1.57,0.77,"64,015",283.06,0.77,0.98,0.80,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"62,934",992.28,368.34,218.17,1.69,0.81,"64,268",283.07,0.68,0.98,0.80,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"62,955","1,025.61",349.42,230.07,1.52,0.75,"64,331",283.12,0.73,0.98,0.75,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"62,958",978.83,336.86,243.31,1.38,0.69,"64,609",283.13,0.78,0.97,0.83,0.84,0.01,0.00,0.71,0.98,BARBUNYA
"62,987","1,008.73",368.79,218.03,1.69,0.81,"64,219",283.19,0.74,0.98,0.78,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"63,015",970.09,351.92,228.28,1.54,0.76,"63,991",283.25,0.71,0.98,0.84,0.80,0.01,0.00,0.65,1.00,BARBUNYA
"63,048",967.12,358.55,224.37,1.60,0.78,"63,896",283.33,0.75,0.99,0.85,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"63,052",960.07,345.34,233.13,1.48,0.74,"63,868",283.34,0.81,0.99,0.86,0.82,0.01,0.00,0.67,1.00,BARBUNYA
"63,081",950,358.50,225.02,1.59,0.78,"63,792",283.40,0.68,0.99,0.88,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"63,127",989.86,351.10,229.15,1.53,0.76,"64,252",283.51,0.72,0.98,0.81,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"63,164",965.90,351.87,229.21,1.54,0.76,"63,999",283.59,0.71,0.99,0.85,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"63,211",999.89,341.44,236.13,1.45,0.72,"64,474",283.69,0.73,0.98,0.79,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"63,223","1,029.74",345.59,234.52,1.47,0.73,"64,555",283.72,0.73,0.98,0.75,0.82,0.01,0.00,0.67,0.99,BARBUNYA
"63,253","1,006.45",352.11,230.08,1.53,0.76,"64,388",283.79,0.78,0.98,0.78,0.81,0.01,0.00,0.65,0.99,BARBUNYA
"63,278","1,028.04",358.98,226.10,1.59,0.78,"64,508",283.85,0.77,0.98,0.75,0.79,0.01,0.00,0.63,0.99,BARBUNYA
"63,317",979.07,371.68,217.44,1.71,0.81,"64,040",283.93,0.72,0.99,0.83,0.76,0.01,0.00,0.58,1.00,BARBUNYA
"63,320",993.07,341.41,236.60,1.44,0.72,"64,491",283.94,0.74,0.98,0.81,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"63,357",972.49,330.45,245.54,1.35,0.67,"64,428",284.02,0.76,0.98,0.84,0.86,0.01,0.00,0.74,0.99,BARBUNYA
"63,406",951.18,358.45,225.99,1.59,0.78,"64,085",284.13,0.78,0.99,0.88,0.79,0.01,0.00,0.63,1.00,BARBUNYA
"63,512","1,022.60",358.44,226.36,1.58,0.78,"64,721",284.37,0.70,0.98,0.76,0.79,0.01,0.00,0.63,1.00,BARBUNYA
"63,530",977.52,346.37,234.55,1.48,0.74,"64,529",284.41,0.69,0.98,0.84,0.82,0.01,0.00,0.67,1.00,BARBUNYA
"63,550",990.73,347.82,233.06,1.49,0.74,"64,683",284.45,0.73,0.98,0.81,0.82,0.01,0.00,0.67,1.00,BARBUNYA
"63,557","1,023.85",372.08,218.36,1.70,0.81,"64,632",284.47,0.71,0.98,0.76,0.76,0.01,0.00,0.58,1.00,BARBUNYA
"63,608",972.46,322.76,251.59,1.28,0.63,"64,527",284.58,0.78,0.99,0.85,0.88,0.01,0.00,0.78,1.00,BARBUNYA
"63,653","1,016.30",355.14,228.64,1.55,0.77,"64,755",284.68,0.72,0.98,0.77,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"63,685","1,062.51",369.65,221.38,1.67,0.80,"65,204",284.76,0.81,0.98,0.71,0.77,0.01,0.00,0.59,0.99,BARBUNYA
"63,703","1,010.61",360.84,225.52,1.60,0.78,"64,811",284.80,0.72,0.98,0.78,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"63,731","1,034.12",361.47,225.25,1.60,0.78,"65,415",284.86,0.71,0.97,0.75,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"63,732","1,018.89",341.24,238.58,1.43,0.71,"65,059",284.86,0.77,0.98,0.77,0.83,0.01,0.00,0.70,1.00,BARBUNYA
"63,733","1,048.88",358.41,227.78,1.57,0.77,"65,287",284.86,0.69,0.98,0.73,0.79,0.01,0.00,0.63,0.99,BARBUNYA
"63,766","1,027.78",339.79,240.04,1.42,0.71,"65,051",284.94,0.76,0.98,0.76,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"63,776","1,014.16",362.77,224.70,1.61,0.79,"64,824",284.96,0.69,0.98,0.78,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"63,780","1,001.82",362.65,224.48,1.62,0.79,"64,748",284.97,0.79,0.99,0.80,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"63,888","1,027.99",370.11,221.10,1.67,0.80,"65,071",285.21,0.81,0.98,0.76,0.77,0.01,0.00,0.59,0.99,BARBUNYA
"63,888","1,043.62",367.84,221.71,1.66,0.80,"65,079",285.21,0.78,0.98,0.74,0.78,0.01,0.00,0.60,1.00,BARBUNYA
"63,905","1,030.26",356.71,228.92,1.56,0.77,"65,322",285.25,0.71,0.98,0.76,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"63,911","1,007.10",364.07,224.30,1.62,0.79,"65,289",285.26,0.71,0.98,0.79,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"63,958","1,016.10",381.82,213.90,1.79,0.83,"65,090",285.37,0.76,0.98,0.78,0.75,0.01,0.00,0.56,1.00,BARBUNYA
"63,966",995.08,376.34,218.16,1.73,0.81,"65,115",285.38,0.79,0.98,0.81,0.76,0.01,0.00,0.58,0.99,BARBUNYA
"63,975","1,027.08",339.19,241.05,1.41,0.70,"65,434",285.40,0.79,0.98,0.76,0.84,0.01,0.00,0.71,1.00,BARBUNYA
"63,988",992.48,351.39,233.01,1.51,0.75,"65,106",285.43,0.79,0.98,0.82,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"63,988","1,012.38",342.88,238.89,1.44,0.72,"65,339",285.43,0.82,0.98,0.78,0.83,0.01,0.00,0.69,0.99,BARBUNYA
"64,001",971.21,358.84,228.15,1.57,0.77,"64,745",285.46,0.70,0.99,0.85,0.80,0.01,0.00,0.63,1.00,BARBUNYA
"64,011",963.42,356.29,228.90,1.56,0.77,"64,811",285.48,0.76,0.99,0.87,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"64,033","1,005.37",354.12,230.91,1.53,0.76,"65,141",285.53,0.77,0.98,0.80,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"64,036","1,028.77",354.63,230.48,1.54,0.76,"65,223",285.54,0.78,0.98,0.76,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"64,109",960.57,332.35,246.84,1.35,0.67,"65,115",285.70,0.71,0.98,0.87,0.86,0.01,0.00,0.74,1.00,BARBUNYA
"64,181","1,001.76",357.11,229.21,1.56,0.77,"65,138",285.86,0.78,0.99,0.80,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"64,184",971.19,345.95,236.65,1.46,0.73,"65,308",285.87,0.74,0.98,0.86,0.83,0.01,0.00,0.68,1.00,BARBUNYA
"64,214","1,087.23",374.00,219.54,1.70,0.81,"66,325",285.94,0.68,0.97,0.68,0.76,0.01,0.00,0.58,1.00,BARBUNYA
"64,222",977.41,337.05,243.18,1.39,0.69,"65,307",285.95,0.72,0.98,0.84,0.85,0.01,0.00,0.72,1.00,BARBUNYA
"64,231",990.63,361.99,226.35,1.60,0.78,"65,039",285.97,0.78,0.99,0.82,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"64,244",963.98,342.93,239.14,1.43,0.72,"65,055",286.00,0.75,0.99,0.87,0.83,0.01,0.00,0.70,1.00,BARBUNYA
"64,260",984.89,370.83,221.15,1.68,0.80,"65,203",286.04,0.74,0.99,0.83,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"64,284","1,038.27",351.49,233.45,1.51,0.75,"65,556",286.09,0.73,0.98,0.75,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"64,314",997.80,346.24,237.40,1.46,0.73,"65,360",286.16,0.73,0.98,0.81,0.83,0.01,0.00,0.68,1.00,BARBUNYA
"64,317",981.44,365.87,224.88,1.63,0.79,"65,275",286.17,0.82,0.99,0.84,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"64,332",987.75,341.30,240.48,1.42,0.71,"65,485",286.20,0.78,0.98,0.83,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"64,380",979.20,343.53,239.15,1.44,0.72,"65,278",286.31,0.80,0.99,0.84,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"64,382",990.70,362.79,226.50,1.60,0.78,"65,321",286.31,0.79,0.99,0.82,0.79,0.01,0.00,0.62,1.00,BARBUNYA
"64,410","1,004.42",367.13,224.41,1.64,0.79,"65,579",286.37,0.76,0.98,0.80,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"64,412",974.54,327.99,250.79,1.31,0.64,"65,298",286.38,0.75,0.99,0.85,0.87,0.01,0.00,0.76,1.00,BARBUNYA
"64,413",998.51,333.03,247.22,1.35,0.67,"65,455",286.38,0.76,0.98,0.81,0.86,0.01,0.00,0.74,1.00,BARBUNYA
"64,437","1,082.77",367.79,223.94,1.64,0.79,"65,869",286.43,0.82,0.98,0.69,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"64,451","1,001.03",354.79,231.86,1.53,0.76,"65,479",286.46,0.80,0.98,0.81,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"64,478",974.29,361.66,227.70,1.59,0.78,"65,268",286.52,0.69,0.99,0.85,0.79,0.01,0.00,0.63,1.00,BARBUNYA
"64,510",989.33,348.66,236.35,1.48,0.74,"65,406",286.59,0.79,0.99,0.83,0.82,0.01,0.00,0.68,1.00,BARBUNYA
"64,517",989.62,358.28,230.05,1.56,0.77,"65,672",286.61,0.71,0.98,0.83,0.80,0.01,0.00,0.64,1.00,BARBUNYA
"64,530","1,004.94",371.62,221.64,1.68,0.80,"65,642",286.64,0.70,0.98,0.80,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"64,566","1,016.79",355.18,232.50,1.53,0.76,"65,592",286.72,0.80,0.98,0.78,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"64,576","1,039.57",359.02,230.28,1.56,0.77,"65,886",286.74,0.70,0.98,0.75,0.80,0.01,0.00,0.64,0.99,BARBUNYA
"64,580","1,036.02",356.78,230.72,1.55,0.76,"65,911",286.75,0.72,0.98,0.76,0.80,0.01,0.00,0.65,1.00,BARBUNYA
"64,592","1,000.07",344.37,239.37,1.44,0.72,"65,657",286.78,0.79,0.98,0.81,0.83,0.01,0.00,0.69,1.00,BARBUNYA
"64,595","1,013.24",374.38,220.29,1.70,0.81,"65,684",286.78,0.68,0.98,0.79,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"64,605","1,067.70",385.76,214.09,1.80,0.83,"66,321",286.81,0.69,0.97,0.71,0.74,0.01,0.00,0.55,1.00,BARBUNYA
"64,628","1,062.55",355.83,233.29,1.53,0.76,"66,408",286.86,0.76,0.97,0.72,0.81,0.01,0.00,0.65,0.99,BARBUNYA
"64,704","1,003.30",335.82,246.52,1.36,0.68,"65,994",287.03,0.80,0.98,0.81,0.85,0.01,0.00,0.73,1.00,BARBUNYA
"64,717",954.22,329.09,250.61,1.31,0.65,"65,499",287.05,0.79,0.99,0.89,0.87,0.01,0.00,0.76,1.00,BARBUNYA
"64,725",954.98,354.49,233.21,1.52,0.75,"65,283",287.07,0.80,0.99,0.89,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"64,734","1,032.09",372.89,224.15,1.66,0.80,"66,426",287.09,0.69,0.97,0.76,0.77,0.01,0.00,0.59,0.99,BARBUNYA
"64,746","1,018.80",374.78,220.61,1.70,0.81,"65,891",287.12,0.80,0.98,0.78,0.77,0.01,0.00,0.59,1.00,BARBUNYA
"64,762","1,000.17",385.83,214.54,1.80,0.83,"65,876",287.15,0.71,0.98,0.81,0.74,0.01,0.00,0.55,1.00,BARBUNYA
"64,778",984.12,367.37,225.33,1.63,0.79,"65,656",287.19,0.80,0.99,0.84,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"64,783","1,059.22",355.29,232.70,1.53,0.76,"66,071",287.20,0.73,0.98,0.73,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"64,828","1,010.29",356.17,232.85,1.53,0.76,"65,960",287.30,0.74,0.98,0.80,0.81,0.01,0.00,0.65,1.00,BARBUNYA
"64,871",959.37,357.76,231.20,1.55,0.76,"65,510",287.40,0.77,0.99,0.89,0.80,0.01,0.00,0.65,1.00,BARBUNYA
"64,913","1,040.56",343.67,241.10,1.43,0.71,"66,203",287.49,0.72,0.98,0.75,0.84,0.01,0.00,0.70,1.00,BARBUNYA
"64,948","1,087.71",352.11,235.85,1.49,0.74,"66,338",287.57,0.77,0.98,0.69,0.82,0.01,0.00,0.67,1.00,BARBUNYA
"65,088","1,011.13",369.32,225.36,1.64,0.79,"66,543",287.88,0.70,0.98,0.80,0.78,0.01,0.00,0.61,1.00,BARBUNYA
"65,099","1,008.43",339.04,245.31,1.38,0.69,"66,288",287.90,0.74,0.98,0.80,0.85,0.01,0.00,0.72,1.00,BARBUNYA
"65,159",974.38,332.82,250.35,1.33,0.66,"65,995",288.03,0.84,0.99,0.86,0.87,0.01,0.00,0.75,1.00,BARBUNYA
"65,170",978.08,380.26,220.03,1.73,0.82,"66,112",288.06,0.70,0.99,0.86,0.76,0.01,0.00,0.57,0.99,BARBUNYA
"65,219","1,011.11",353.65,235.31,1.50,0.75,"66,672",288.17,0.72,0.98,0.80,0.81,0.01,0.00,0.66,1.00,BARBUNYA
"65,231","1,026.27",363.47,229.79,1.58,0.77,"66,343",288.19,0.82,0.98,0.78,0.79,0.01,0.00,0.63,0.99,BARBUNYA
"65,235","1,017.69",329.70,253.31,1.30,0.64,"66,266",288.20,0.75,0.98,0.79,0.87,0.01,0.00,0.76,0.99,BARBUNYA
